state,route,busname,price,bustype,departing_time,duration,reaching_time,star_rating,seats_available,type,date_of_scrape
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,MMK Travels,₹ 700,A/C Semi Sleeper / Sleeper (2+1),22:30,9h,07:30,4.3,26 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,SKS Tours & Travels,₹ 899,A/C Sleeper (2+1),21:15,8h 30m,05:45,4.3,12 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,NS Transports,₹ 854,A/C Sleeper (2+1),22:45,8h 30m,07:15,4.2,7 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,Highline Transports,₹ 889,VE A/C Sleeper (2+1),21:25,9h,06:25,4.2,13 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,DLT BUS,₹ 999,A/C Sleeper (2+1),22:30,9h,07:30,4.1,9 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,Kyros Connect,₹ 799,Bharat Benz A/C Semi Sleeper (2+2),23:00,10h,09:00,4.1,30 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,SKS Tourist Corporation (REGD),₹ 599,Non A/C Seater / Sleeper (2+1),21:30,8h 30m,06:00,4.1,16 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,SAAM BUS,₹ 800,VE A/C Sleeper (2+1),21:45,9h,06:45,3.8,16 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,DA Transports,₹ 719,A/C Sleeper (2+1),18:55,12h,06:55,3.8,21 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,NS Transports,₹ 629,NON A/C Semi Sleeper / Sleeper (2+1),22:15,8h 15m,06:30,3.7,15 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,National travels and logistics,₹ 749,A/C Sleeper (2+1),22:30,8h 45m,07:15,3.6,14 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,SAAM BUS,₹ 650,A/C Seater / Sleeper (2+1),21:45,8h 20m,06:05,3.6,13 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,NS Transports,₹ 629,NON A/C Semi Sleeper / Sleeper (2+1),21:45,8h 25m,06:10,3.5,12 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,A1 Travels,₹ 500,NON A/C Seater / Sleeper (3+1),21:00,9h 45m,06:45,3.5,34 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,P K Travels,₹ 900,Bharat Benz A/C Sleeper (2+1),22:15,8h 30m,06:45,4.2,13 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,KSRTC (Kerala) - 553,₹ 762,Super Express Non AC Seater Air Bus (2+2),16:45,8h 55m,01:40,3.2,6 Seats,Government,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,KSRTC (Kerala) - 789,₹ 474,Super Fast Non AC Seater (2+3),20:00,7h,03:00,3.6,6 Seats,Government,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,KSRTC (Kerala) - 1585,₹ 762,Swift Deluxe Non AC Air Bus (2+2),20:40,9h 5m,05:45,4.2,25 Seats,Government,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,KSRTC (Kerala) - 1586,₹ 762,Swift Deluxe Non AC Air Bus (2+2),21:30,8h 55m,06:25,3.3,30 Seats,Government,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,KSRTC (Kerala) - 2133,₹ 762,Swift Deluxe Non AC Air Bus (2+2),22:10,9h 10m,07:20,3.7,23 Seats,Government,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,KSRTC (Kerala) - 54,₹ 914,Garuda Premium,22:25,6h 55m,05:20,4.4,12 Seats,Government,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,KSRTC (Kerala) - 574,₹ 677,Super Express Non AC Seater Air Bus (2+2),23:00,10h 35m,09:35,3.7,30 Seats,Government,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,KSRTC (Kerala) - 583,₹ 677,Swift Deluxe Non AC Air Bus (2+2),23:30,10h 15m,09:45,4.2,25 Seats,Government,02-08-2025
Kerala RTC Online Ticket Booking,Bangalore to Kozhikode,KSRTC (Kerala) - 56,₹ 863,SWIFT-GARUDA A/C SEATER BUS,23:40,10h 10m,09:50,4.2,32 Seats,Government,02-08-2025
Kerala RTC Online Ticket Booking,Kozhikode to Ernakulam,A1 Travels,₹ 650,Non A/C Seater / Sleeper (2+1),20:10,3h 54m,00:04,3.3,28 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Kozhikode to Ernakulam,A1 Travels,₹ 550,NON A/C Semi Sleeper (2+2),21:00,4h 30m,01:30,4,11 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Kozhikode to Ernakulam,EMERALD TRAVELS,₹ 800,Bharat Benz A/C Seater /Sleeper (2+1),22:10,4h 30m,02:40,3,28 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Kozhikode to Ernakulam,EMERALD TRAVELS,₹ 800,Bharat Benz A/C Semi Sleeper (2+2),22:10,4h 30m,02:40,3,30 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Kozhikode to Ernakulam,A1 Travels,₹ 750,Bharat Benz A/C Seater /Sleeper (2+1),22:15,4h 30m,02:45,3,20 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Kozhikode to Ernakulam,A1 Travels,₹ 700,Bharat Benz A/C Seater /Sleeper (2+1),22:30,4h,02:30,3.4,29 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Kozhikode to Ernakulam,CITI TOURS,₹ 600,Bharat Benz A/C Sleeper (2+1),22:45,4h 15m,03:00,3.3,27 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Kozhikode to Ernakulam,Achayans Holidays,₹ 560,VE A/C Semi Sleeper (2+2),23:00,4h 50m,03:50,4,12 Seats,Private,02-08-2025
Kerala RTC Online Ticket Booking,Kozhikode to Ernakulam,LIYAS TOURS,₹ 949,Bharat Benz A/C Sleeper (2+1),23:15,4h,03:15,3.8,3 Seats,Private,02-08-2025
